LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT1,PAY_AMT1,default payment next month
160000,1,2,2,33,130028,4400,0
360000,2,1,1,45,390,1170,1
160000,2,2,2,32,3826,1147,0
130000,2,1,1,35,81313,40000,0
20000,1,3,2,44,8583,0,0
200000,1,1,1,53,138180,6300,1
280000,2,1,2,39,7524,0,0
100000,2,1,2,27,-2000,7555,0
160000,2,2,1,37,880,1602,0
60000,2,2,2,23,45648,1937,0
90000,1,2,2,35,83725,3621,0
360000,1,1,1,43,3967,8339,0
150000,1,1,2,27,86009,4031,0
50000,2,3,1,22,18722,1411,0
20000,1,2,1,38,17973,1699,1
140000,1,1,2,32,672,10212,0
380000,2,1,2,30,-81,223,0
480000,1,1,1,63,422069,16078,0
50000,2,3,2,22,44698,1767,1
60000,2,2,2,26,56685,0,0
70000,2,2,2,24,5580,0,0
80000,2,2,1,36,6108,2861,0
350000,1,1,2,52,713,2272,0
130000,1,2,2,38,171438,10908,0
360000,1,2,1,35,-103,0,0
330000,2,1,1,31,105879,9260,0
50000,1,3,1,47,13244,2000,0
280000,1,2,1,41,135673,6500,0
100000,2,1,2,24,52128,2000,0
50000,1,2,2,41,19015,1340,0
30000,1,1,2,24,18199,0,1
240000,1,1,2,28,326,326,0
80000,1,2,2,26,14029,2000,1
400000,1,2,1,34,19660,9677,0
240000,2,2,2,38,50254,2000,0
50000,1,3,2,37,46004,1000,1
450000,1,1,1,40,0,0,1
110000,2,1,1,48,0,0,0
310000,2,2,1,35,304991,13019,1
20000,1,1,2,27,19115,1404,0
20000,1,2,2,23,0,0,0
200000,1,3,2,52,110151,3568,0
180000,1,1,1,36,163736,4655,1
50000,1,2,1,51,3347,1000,1
60000,1,3,1,55,60521,2504,0
30000,2,1,2,23,4000,5645,0
240000,1,1,2,41,95,2622,0
420000,1,2,1,34,253454,9744,0
330000,1,3,1,46,227389,8210,0
30000,2,2,2,22,28452,2000,0
240000,1,2,1,34,10674,1500,0
150000,1,1,2,27,17444,2500,0
210000,2,2,1,33,7166,1500,0
50000,2,3,1,51,752,300,1
50000,1,1,2,24,50801,2360,0
240000,1,1,2,47,0,0,1
180000,1,2,2,28,1832,0,0
50000,1,2,2,23,10131,1000,0
170000,1,2,2,29,12159,10000,0
20000,1,1,2,29,1199,15586,0
50000,1,1,2,28,4999,1000,0
170000,2,2,2,27,19269,1661,1
200000,1,1,2,34,197236,8000,0
80000,2,2,1,23,9168,1650,0
260000,2,1,1,60,-1100,0,0
140000,1,2,1,32,86627,3455,0
80000,1,1,2,25,42444,30000,0
350000,1,1,2,41,208,2906,0
280000,2,2,1,56,208775,8042,0
30000,2,3,2,26,9014,1700,0
140000,1,1,1,34,23944,5000,0
200000,2,1,2,37,105420,4000,0
200000,2,3,2,30,196031,7300,0
210000,1,3,1,45,115785,10478,1
50000,1,3,1,57,12854,0,0
30000,1,1,2,41,24357,3500,0
50000,1,2,2,27,390,390,0
290000,1,3,1,47,1234,396,0
250000,2,1,1,34,141223,17994,0
60000,2,2,1,46,21148,3000,0
110000,2,1,2,27,101640,5500,0
370000,1,1,2,50,6093,15383,0
100000,1,2,1,27,102349,3166,0
90000,2,2,1,35,72112,3500,0
50000,2,2,2,22,28040,1510,0
270000,1,2,2,37,37695,5000,0
300000,2,1,2,30,688,3288,0
50000,2,2,2,22,8567,15000,0
50000,2,1,2,24,-709,0,1
360000,1,1,2,29,0,0,0
130000,1,3,1,56,64617,3000,1
80000,1,1,2,30,6187,504,0
50000,1,2,2,30,48860,0,0
20000,2,2,2,22,16001,1212,0
80000,2,2,1,29,77883,5800,0
240000,1,1,2,37,12212,15000,0
80000,2,3,2,35,49608,12500,0
500000,2,1,1,47,56422,70010,0
60000,2,2,1,24,58024,2500,1
20000,1,2,2,25,10642,1200,0
100000,2,2,1,38,14483,0,1
360000,2,1,2,32,2616,57087,0
200000,2,3,2,47,199436,8214,1
130000,2,2,1,34,0,5396,0
20000,2,2,2,31,21703,0,0
310000,1,1,2,32,59901,10020,0
60000,2,1,2,27,19625,1342,1
180000,2,1,2,29,11386,199,0
180000,2,1,2,24,14670,37867,0
50000,1,2,1,36,47790,2000,0
50000,2,1,2,24,36166,1900,1
150000,2,2,1,34,0,0,0
20000,2,1,2,22,18553,1500,0
500000,2,1,1,34,412,138,0
30000,2,3,2,22,29010,1000,1
180000,2,1,1,38,750,0,0
140000,1,1,2,31,27123,25000,0
140000,2,1,2,26,13424,10000,0
120000,1,2,2,26,107314,5000,0
360000,2,2,1,48,226430,9100,0
20000,1,3,1,43,227,22359,0
100000,1,1,1,47,390,1473,0
210000,2,2,1,41,3088,1586,1
80000,2,2,2,24,81625,3200,1
330000,2,1,1,50,8872,4345,0
220000,1,1,2,24,105607,5000,0
210000,2,1,1,38,0,0,1
40000,2,3,1,43,38257,1700,0
30000,1,2,2,39,28347,3036,0
470000,1,2,2,27,296573,13000,0
30000,1,3,1,42,390,390,0
240000,2,2,1,36,-946,0,1
80000,1,2,2,36,79278,3100,0
110000,2,3,0,31,89989,4000,0
310000,2,1,2,38,1424,4542,0
360000,2,1,1,40,105167,12000,1
330000,2,3,2,45,335196,12388,0
300000,2,2,2,35,291619,12019,0
320000,2,2,2,33,91653,10042,0
50000,2,3,2,37,52626,0,1
170000,2,1,2,28,130370,6530,0
350000,1,3,1,44,3265,2686,0
20000,1,2,1,37,16455,1609,0
50000,1,2,2,23,49758,2401,1
20000,2,3,2,24,19154,0,0
50000,2,1,2,24,35084,2090,0
20000,1,2,2,23,20235,0,1
50000,1,2,1,26,102800,0,0
190000,1,2,2,34,129801,5000,1
60000,2,2,1,33,58203,1506,0
80000,1,1,2,35,7988,3983,0
150000,2,2,2,27,127402,4500,0
210000,2,1,2,31,1440,0,0
240000,2,3,1,50,234205,10116,1
140000,2,2,3,41,19346,3000,1
60000,2,1,2,28,21501,0,0
50000,1,1,2,39,47174,1800,0
50000,2,2,2,27,26655,1800,0
180000,2,1,2,32,3139,2821,0
30000,2,1,2,40,142,355,0
20000,2,2,2,40,19816,1601,0
250000,2,2,1,75,52874,1631,0
100000,2,2,2,27,37767,1788,0
330000,1,1,2,25,46140,2504,0
50000,1,3,1,46,35713,1561,0
50000,2,2,2,26,50867,1710,0
30000,1,2,2,28,29242,5006,0
140000,2,2,2,26,101551,5366,1
160000,2,1,2,28,70243,7042,0
400000,2,2,2,29,19532,3127,0
50000,1,2,1,25,27699,1565,0
140000,2,2,1,48,1154,1233,0
160000,2,2,1,33,8015,2453,0
100000,2,3,1,43,62170,0,0
220000,1,1,1,48,210380,10000,1
510000,2,1,2,29,78331,40010,0
50000,1,2,2,29,49276,1602,0
160000,2,1,1,38,4473,4664,0
230000,2,1,2,37,2283,51315,0
80000,2,1,2,37,10115,258,0
150000,2,2,1,25,6156,0,0
10000,1,3,2,23,6974,1134,0
130000,2,3,2,49,89003,4100,1
40000,2,1,2,48,34871,1600,0
50000,1,2,2,27,13694,1700,1
100000,1,3,2,32,70003,2035,0
120000,1,1,1,34,1082,0,0
260000,2,1,2,58,0,0,1
200000,2,2,2,33,11253,2000,0
360000,2,2,2,28,0,0,1
70000,2,2,2,36,68699,4483,0
460000,1,1,1,40,171,2728,1
50000,2,1,2,26,1156,316,0
50000,1,3,1,33,50859,2007,0
250000,2,2,1,31,103109,4000,0
30000,2,1,2,27,1512,1000,0
270000,1,2,1,44,127543,10063,0
180000,2,3,2,30,163935,7722,0
100000,2,1,2,28,53494,4173,0
230000,2,3,1,32,195126,5000,0
210000,2,1,1,46,110346,41986,0
210000,1,1,2,38,60502,3276,0
440000,2,2,1,46,180641,8610,0
100000,2,2,2,25,70896,3472,1
240000,2,2,1,46,8751,1295,0
280000,1,1,2,33,898,898,1
50000,2,2,2,22,0,0,1
30000,1,2,1,43,1700,1100,0
10000,1,2,2,27,7015,3507,1
130000,1,1,2,29,0,0,0
200000,1,1,2,31,194353,9000,0
120000,2,2,1,29,1686,657,0
210000,2,2,1,36,143225,6483,0
280000,2,1,1,36,58983,2755,0
300000,1,1,2,34,0,0,1
100000,1,2,2,37,99209,3490,0
440000,2,1,2,36,0,0,0
50000,2,3,1,40,49941,2400,0
20000,2,1,2,25,11968,2800,1
200000,2,1,2,27,871,665,0
110000,2,2,2,26,432,3220,0
500000,2,2,1,36,10483,23962,0
300000,2,2,1,27,0,5215,0
30000,1,3,1,55,9720,1200,1
60000,2,1,2,27,20847,13809,0
400000,2,2,1,38,3697,1000,0
180000,2,2,1,34,143301,7000,0
20000,1,1,2,40,10934,3000,0
200000,2,3,1,49,52439,0,1
100000,1,1,2,27,55734,1631,0
60000,1,2,2,23,49507,1970,1
110000,2,2,2,36,47819,2200,0
260000,2,3,1,53,0,165,0
50000,2,3,1,46,48522,3754,0
180000,1,2,2,29,-2,0,0
110000,1,2,2,29,58362,2500,1
340000,2,1,2,27,172180,21105,0
50000,1,2,2,24,1399,1070,0
230000,2,2,1,28,26361,1710,1
360000,2,2,2,32,93029,10000,0
210000,1,2,2,43,0,0,0
220000,2,2,1,41,650,325,1
60000,2,2,1,34,24898,3800,1
340000,1,2,1,55,50396,44665,0
150000,1,1,1,40,99855,5200,0
200000,2,2,1,37,-179,1000,1
130000,2,2,2,40,9559,3000,1
60000,2,1,2,28,10540,0,0
400000,2,2,1,43,0,0,0
20000,1,1,2,27,20571,1323,0
190000,2,1,2,28,143464,5795,0
260000,2,1,2,30,156882,10000,0
140000,2,2,2,31,390,0,0
50000,2,2,1,31,46512,1974,1
120000,2,1,2,34,882,6900,0
240000,2,2,2,30,92,92,0
50000,1,2,2,36,5916,1212,0
200000,2,1,2,29,2393,0,0
180000,1,1,1,39,274731,11000,0
180000,2,1,2,26,145403,5440,0
160000,2,1,2,29,3097,0,0
100000,2,2,2,26,1370,4210,0
50000,2,2,2,29,47081,3000,1
140000,2,2,2,31,138119,6600,0
30000,2,2,2,26,17893,1411,1
90000,1,1,2,26,39128,1541,0
200000,1,1,1,36,-14386,10118,0
380000,1,1,2,30,0,0,1
80000,2,2,2,43,77057,3177,0
50000,1,3,1,58,15899,3400,0
180000,1,2,1,45,27679,1481,1
240000,2,2,2,26,141315,6349,0
380000,1,2,2,34,194314,9010,0
110000,2,4,2,24,83755,3000,0
260000,1,1,1,34,49657,291,0
500000,2,2,2,23,507726,10000,1
320000,2,2,2,30,71305,2589,0
50000,1,2,2,32,45734,0,0
110000,1,1,1,40,0,0,1
230000,2,1,2,35,761,300,0
330000,2,2,1,56,-9,1529,0
50000,2,2,1,61,47166,3000,0
10000,1,2,2,24,2887,0,0
300000,1,1,1,40,0,0,0
20000,2,2,1,32,20631,0,1
180000,1,2,1,36,83538,0,1
160000,1,1,2,30,99,2977,0
90000,2,1,2,34,34302,1640,0
30000,1,3,3,54,22987,2500,0
180000,1,1,1,46,173267,8100,0
30000,1,3,1,58,19143,1640,0
30000,1,2,1,43,20518,0,0
140000,2,1,2,28,10833,14000,0
210000,1,1,2,30,69937,3500,0
50000,1,2,2,31,20526,2000,1
130000,2,2,2,29,89055,4200,0
50000,2,2,1,37,1894,1500,1
140000,1,3,1,36,100594,3000,0
170000,2,2,2,28,2948,1105,1
80000,1,2,2,25,22619,10010,0
410000,2,5,1,42,338106,15000,0
80000,2,1,2,29,0,80000,0
80000,1,3,1,73,63144,3500,1
150000,1,2,1,43,153249,7900,0
260000,1,1,1,30,1131,291,1
350000,1,1,1,38,0,0,0
280000,2,2,1,39,-1312,38621,1
310000,1,2,1,44,103797,4400,0
140000,2,2,2,29,20110,3000,0
360000,1,1,1,51,38000,25000,0
140000,2,1,2,27,142428,10000,0
100000,1,1,2,38,40810,2502,0
50000,2,2,2,22,0,0,0
210000,2,2,1,30,104701,4002,0
120000,2,2,2,25,120298,4007,0
240000,1,1,2,29,156362,5233,0
60000,2,3,3,42,41322,1488,0
150000,1,1,2,41,1464,2091,1
30000,1,2,1,48,27879,1774,0
160000,2,1,2,29,160432,7500,1
200000,1,1,1,52,3858,2690,0
120000,2,2,1,25,26476,6000,0
500000,1,1,1,37,507062,325,0
320000,2,1,2,27,55607,11404,0
280000,1,1,2,31,168382,10000,0
60000,2,1,2,23,29332,0,1
200000,2,1,1,38,190,0,0
230000,2,1,1,32,0,0,0
230000,2,2,2,27,13668,0,1
480000,2,3,1,41,14867,26734,0
50000,2,3,1,35,22500,5000,0
200000,2,1,2,31,7184,17507,0
50000,2,1,2,30,14811,2000,0
50000,1,2,1,48,44338,3629,0
260000,2,1,2,36,0,0,1
30000,1,1,2,24,25265,1500,0
440000,2,1,2,29,169661,8071,0
230000,2,2,2,38,10237,2795,0
200000,1,2,1,38,104978,4500,1
490000,2,2,1,30,192586,10000,0
80000,2,2,1,32,11262,0,0
20000,2,3,2,49,9551,3000,1
170000,2,1,2,31,199,199,1
70000,1,1,2,27,70119,3600,0
210000,2,2,2,33,212601,6000,0
90000,2,2,2,25,91894,3200,0
390000,2,1,2,27,304867,13007,1
110000,2,1,2,29,48123,2500,0
580000,2,1,1,36,159760,6422,0
360000,1,3,1,55,9210,6015,0
270000,2,2,1,32,234752,10000,1
60000,2,1,2,27,14072,0,0
110000,1,3,1,37,61807,2300,0
50000,2,1,1,25,51044,2500,0
80000,2,1,2,23,77024,3212,1
50000,1,2,2,23,350,350,0
100000,1,1,2,32,83831,4000,0
30000,2,1,2,26,0,0,0
200000,2,1,2,27,122923,5704,0
240000,1,1,2,44,246135,12026,1
220000,1,2,2,34,37304,1600,0
160000,2,1,2,28,146433,4500,0
180000,2,1,1,53,46122,1260,0
200000,1,4,1,42,38564,5000,0
140000,2,3,1,30,96304,4505,0
380000,1,1,1,51,0,0,1
600000,1,1,1,53,467150,0,1
260000,1,2,2,37,255691,14000,0
200000,2,1,2,26,156786,179,0
80000,1,2,2,42,78129,2500,0
40000,1,2,2,39,40034,2027,0
130000,1,3,2,39,71034,0,0
50000,1,1,2,32,23974,1800,0
230000,2,2,1,41,819,18163,0
70000,1,2,1,48,50927,2100,1
180000,2,2,1,38,152510,5657,0
80000,2,2,1,36,1689,8638,0
290000,2,2,2,26,20807,80000,0
230000,2,1,2,28,30141,120093,0
170000,2,3,3,56,0,0,0
230000,1,1,1,59,208459,7536,1
220000,1,1,2,38,212795,8909,1
230000,1,2,2,32,28114,1610,0
500000,1,2,1,38,59372,10026,0
90000,2,1,1,41,6160,3276,0
390000,2,3,2,35,355215,13802,1
400000,2,2,2,41,366193,14020,0
180000,1,2,1,34,2927,2790,0
60000,1,3,1,38,29295,1800,0
120000,2,2,1,32,4158,2682,0
60000,2,2,2,29,27199,1900,0
50000,1,1,2,44,50893,1800,0
70000,2,2,1,37,66759,2518,0
500000,2,1,1,38,600,0,0
200000,1,1,2,31,0,0,0
250000,2,2,1,40,44930,120041,0
140000,1,2,2,26,131367,17000,1
70000,2,2,2,28,41264,2112,0
90000,1,3,1,48,77604,1700,0
100000,2,2,1,43,2491,1709,0
190000,1,2,1,31,177554,7600,0
230000,2,1,1,42,6865,15111,0
320000,1,2,1,39,93768,3317,0
220000,2,2,1,36,396,1648,1
260000,2,1,1,34,16426,6277,0
90000,2,2,2,32,573,157,0
30000,2,2,1,43,28703,1300,0
260000,1,2,2,30,98560,4000,0
170000,2,2,2,28,28304,4000,0
80000,2,1,1,28,8574,1203,1
50000,1,1,1,41,508,1000,0
200000,2,3,2,47,203183,7521,0
20000,1,2,2,23,16440,7403,0
250000,2,1,1,49,66,0,0
20000,1,1,1,38,15912,1623,0
30000,2,2,1,38,20344,2000,0
90000,2,2,1,35,23132,0,0
230000,2,6,2,46,221590,10000,0
130000,2,1,1,33,19161,2000,1
30000,1,6,1,53,0,0,0
160000,1,1,2,35,396,396,0
500000,2,2,2,43,3959,0,0
180000,2,2,2,28,42238,2500,0
80000,2,2,1,30,21507,1700,0
120000,1,1,2,26,884,0,0
130000,1,2,1,31,1261,1261,0
120000,2,2,2,35,240,240,1
360000,1,1,2,28,20223,53228,0
50000,1,2,2,23,29509,2000,1
20000,2,2,2,23,18355,2900,0
100000,1,3,1,56,94265,2385,0
70000,1,3,1,32,68739,3060,0
50000,1,2,1,47,13917,3000,0
10000,2,2,2,22,10250,0,0
290000,2,1,1,34,93844,6000,0
30000,2,1,1,31,16496,1597,0
410000,2,2,2,27,-58,33049,0
360000,1,1,2,28,1210,390,1
140000,2,2,1,42,111496,6022,1
210000,2,1,2,32,67374,3200,0
220000,2,2,2,27,1692,13250,0
20000,1,2,2,27,18649,0,0
620000,2,2,1,45,160837,0,1
360000,1,1,2,26,-8,0,0
20000,2,2,2,21,18763,14410,0
50000,1,2,2,23,34549,2836,0
50000,1,2,3,30,97538,2454,0
10000,1,2,2,46,4073,2400,1
100000,2,3,1,50,53849,2050,1
50000,1,1,2,26,2411,3068,0
60000,1,2,2,25,480,1675,0
440000,2,1,2,35,330759,13100,0
120000,1,2,1,44,92007,5417,0
50000,2,1,2,52,3257,1000,0
110000,2,2,1,40,92638,600,0
200000,2,1,2,38,399,0,0
150000,2,1,2,28,0,0,0
30000,2,2,1,36,28778,0,1
100000,2,1,2,24,30092,1553,0
360000,2,1,1,34,12339,10000,0
390000,2,1,2,31,50620,5000,0
220000,2,1,1,41,-65,0,1
160000,2,2,2,25,0,0,0
230000,2,1,2,28,2403,7357,0
120000,1,1,2,27,52437,5024,0
100000,1,3,1,52,4657,1500,1
190000,2,1,2,41,28204,0,1
50000,1,1,1,56,50715,2500,1
240000,2,1,1,42,0,6370,0
40000,2,2,2,24,35285,2000,0
630000,2,2,1,47,37850,38187,0
160000,2,1,1,33,5233,5401,0
110000,2,2,2,32,65299,11000,0
20000,1,2,2,29,17208,2055,0
210000,2,3,1,53,57192,2800,0
270000,1,1,2,34,5780,12006,0
360000,2,2,2,52,640,2231,0
60000,2,2,1,42,631,2790,0
360000,1,2,2,38,108351,8005,0
390000,2,1,2,45,834,1,0
250000,2,3,2,35,7244,8514,0
90000,2,1,2,24,13141,1600,1
360000,1,1,2,28,7071,1510,0
50000,1,3,2,26,35429,1537,0
270000,2,1,1,40,18751,1000,0
200000,2,1,2,29,55788,8394,0
50000,2,2,2,23,49809,2040,0
350000,1,1,2,33,10900,10530,0
160000,2,2,2,60,3128,5156,1
80000,2,3,1,49,3367,4641,0
290000,1,1,1,53,279610,13000,1
270000,2,1,2,28,475,475,0
80000,1,1,2,31,5994,13647,0
50000,1,2,2,36,5197,1300,0
30000,1,2,1,35,7797,2687,0
30000,1,2,2,28,0,780,1
90000,1,2,2,33,35785,15155,0
160000,1,1,2,26,1433,3757,0
80000,2,3,2,53,77766,4000,0
50000,1,2,2,42,50300,2200,0
20000,2,1,2,25,14603,1600,0
220000,1,1,1,43,0,0,1
210000,1,3,2,25,8817,23776,1
130000,2,2,2,29,131575,6700,0
260000,2,2,1,31,5841,23194,0
230000,2,1,1,30,30341,5000,0
160000,1,1,2,34,83255,4000,0
50000,1,1,1,35,34976,1127,0
80000,1,2,1,32,48747,2145,0
110000,1,3,2,46,56700,2681,0
200000,1,1,1,43,144678,5090,0
360000,1,2,2,29,268112,9429,0
210000,2,3,2,31,0,0,0
80000,2,2,2,24,79243,3249,0
300000,2,2,1,36,-475,10000,1
310000,2,2,1,43,23396,1426,0
30000,1,3,1,59,390,390,1
170000,1,1,1,53,17862,1323,0
140000,2,2,2,28,26450,3007,0
180000,2,2,2,31,0,0,0
50000,1,1,2,34,22746,0,0
50000,2,2,1,36,9214,1351,0
110000,2,1,2,24,40882,2000,0
450000,2,3,1,36,3996,9120,0
200000,2,2,1,34,390,390,0
220000,1,1,2,43,44177,1006,0
360000,2,1,2,29,3280,0,1
50000,1,2,1,37,48226,2000,0
40000,1,2,2,23,36650,0,0
190000,2,2,1,37,115049,6000,0
150000,1,1,2,33,21724,2100,0
200000,2,1,1,37,0,0,0
270000,2,2,1,56,137807,5000,0
60000,1,1,2,25,58839,2018,0
200000,2,2,1,39,80833,3315,0
150000,2,2,1,39,36146,3000,0
180000,2,2,2,28,340,0,0
90000,2,1,2,27,7624,0,0
360000,2,2,1,37,0,0,0
90000,2,1,2,24,491,0,0
20000,2,2,2,24,13168,1237,0
70000,1,1,1,46,60040,2600,0
230000,1,1,1,39,660,660,0
30000,1,3,1,48,29434,1465,0
200000,2,3,3,45,4430,7193,0
100000,1,3,2,49,1440,0,0
50000,2,2,2,23,26795,2000,0
20000,2,3,1,25,16591,1155,0
210000,2,2,1,47,0,0,0
110000,1,3,1,56,46486,4086,0
20000,2,3,1,44,550,228,0
50000,2,3,1,49,5630,1107,0
50000,1,2,1,41,21986,1362,0
400000,2,1,2,40,60125,1981,0
170000,1,2,2,31,56364,3000,0
280000,1,2,1,42,148363,6900,0
130000,2,3,1,28,100143,2500,0
210000,2,2,2,32,46255,5000,0
370000,1,2,2,28,276436,20000,0
30000,2,2,1,31,29493,3200,0
150000,1,3,2,39,214450,5180,0
60000,1,3,1,31,35369,1027,1
80000,2,2,2,24,77615,3100,0
280000,2,2,1,44,186149,0,1
20000,2,2,2,46,21075,0,0
270000,1,1,2,32,0,0,0
240000,2,2,2,26,14348,1000,0
20000,2,1,2,22,20137,1300,0
450000,2,1,1,42,-200,0,1
10000,1,2,2,33,8177,2500,0
280000,1,2,1,39,2082,3597,1
290000,2,3,2,27,13820,2000,0
190000,2,1,2,28,46923,2500,1
80000,2,1,2,23,53261,4500,0
280000,2,2,2,28,427,0,0
160000,2,1,1,33,14150,8106,0
90000,1,2,1,40,42856,3114,1
140000,2,1,2,37,1034,40000,0
50000,1,1,2,22,5137,1300,0
40000,2,2,1,32,24114,2000,0
130000,2,3,1,43,130067,5540,0
70000,2,3,1,27,61611,3011,0
30000,2,2,1,35,25078,1500,0
100000,2,3,1,35,97002,8200,0
20000,2,1,1,30,5766,2000,1
30000,2,2,2,34,99568,33000,0
20000,1,2,1,34,12857,1541,1
100000,2,1,2,28,96193,3600,1
30000,1,2,2,25,2400,0,1
320000,2,1,1,41,97797,4520,0
90000,1,3,2,42,64762,0,1
190000,1,2,2,40,145613,15000,1
200000,1,1,2,28,71989,52129,0
300000,2,2,2,31,3345,1087,0
30000,2,1,2,56,29033,1283,0
110000,2,2,3,45,26650,1532,0
230000,2,1,2,29,0,0,0
230000,2,1,1,35,4259,1250,0
310000,2,2,2,28,106468,8000,0
320000,1,1,1,40,247276,10000,0
360000,1,1,1,47,1548,0,0
20000,2,3,1,41,780,0,1
170000,2,2,2,27,162671,7500,0
140000,1,1,1,40,123049,4310,0
80000,1,2,2,32,51372,1853,0
150000,1,2,2,35,60015,20000,0
170000,1,2,2,27,1170,0,0
200000,2,2,1,29,159398,6163,1
70000,1,1,2,30,55664,5800,0
320000,1,2,1,37,43528,500,0
150000,2,1,2,29,0,0,0
50000,2,1,1,34,27966,1267,0
90000,2,2,2,34,8792,0,0
280000,1,1,1,41,28026,41346,0
300000,2,1,2,31,43610,1655,0
400000,2,2,2,40,0,8235,0
200000,2,1,1,27,5780,105,0
10000,2,3,2,22,8109,2000,1
50000,2,2,3,30,52515,0,1
30000,2,2,3,22,22582,4600,0
50000,1,1,2,26,15448,1500,1
50000,1,2,1,38,58102,2500,0
30000,2,3,1,46,12289,0,0
20000,1,2,2,24,10476,1000,0
20000,1,2,2,49,16326,1441,0
50000,1,1,3,49,17681,1611,0
30000,2,2,1,42,47912,1755,0
360000,2,1,1,30,18886,0,0
170000,1,2,1,42,0,1690,0
400000,2,1,2,31,203,770,0
50000,2,2,1,49,34962,1613,0
160000,2,2,2,27,80964,4000,0
70000,2,2,1,33,69418,2382,1
150000,2,1,1,35,0,0,0
80000,2,2,2,48,45174,3000,0
30000,2,2,2,22,23892,5300,0
10000,1,2,2,22,7960,2000,1
180000,2,1,2,27,0,3338,0
320000,1,1,1,47,9192,13942,0
80000,2,2,2,34,25935,2000,0
10000,1,2,1,45,7139,1400,1
360000,2,2,2,39,12865,4484,0
450000,1,2,2,33,-14,2582,0
330000,2,2,2,29,49549,90000,0
60000,1,1,2,29,546,0,1
50000,2,3,2,26,9935,1234,0
200000,1,2,1,38,152856,6000,0
120000,1,1,2,34,1278,0,0
160000,2,1,1,37,316,316,0
110000,1,2,1,57,46132,2306,0
70000,2,3,1,50,27345,1041,0
150000,2,3,2,28,101593,4000,0
610000,2,1,2,31,142764,6540,0
110000,2,1,2,25,92849,4346,0
80000,2,2,2,25,17330,3000,1
170000,2,2,1,33,109863,4380,0
110000,2,1,2,30,1064,2007,0
140000,2,1,1,51,56764,2115,0
70000,1,1,2,51,43048,3000,0
260000,2,2,1,46,29484,10000,0
170000,1,3,2,38,21310,2000,0
